"Receiver","Station.Name","Start","Stop"
"VR2W-1","bot_ar","2014-10-10 10:08:07","2015-05-04 23:42:56"
"VR2W-100474","tor","2015-04-09 08:43:10","2015-04-10 07:01:54"
"VR2W-100724","sum_2","2014-11-02 18:10:43","2014-12-24 15:49:20"
"VR2W-100738","pbah_1","2013-09-13 19:12:46","2014-06-29 03:06:03"
"VR2W-102363","boltp_1","2015-04-09 06:30:59","2015-04-09 06:31:01"
"VR2W-104139","bot_ar","2013-09-02 16:09:59","2014-06-28 04:30:41"
"VR2W-104764","ps_2","2014-11-07 07:46:58","2014-12-03 11:13:02"
"VR2W-107368","coalp_3","2015-04-08 08:20:03","2015-04-08 08:20:05"
"VR2W-107517","pbah_2","2014-05-03 01:18:25","2014-05-03 01:21:45"
"VR2W-107525","nr2","2013-09-13 18:34:10","2014-06-29 23:40:15"
"VR2W-107527","sum_1","2014-11-12 10:47:10","2014-12-01 16:22:20"
"VR2W-107537","bon_2","2014-11-01 18:05:17","2015-04-21 06:22:18"
"VR2W-107541","ps_2","2014-05-27 10:54:15","2014-07-07 10:37:11"
"VR2W-107544","kil","2014-12-18 09:21:38","2015-04-09 21:35:16"
"VR2W-109575","bon_1","2014-11-01 17:44:59","2014-12-25 10:58:56"
"VR2W-110494","ps_1","2014-10-18 17:46:11","2015-01-17 04:17:34"
"VR2W-112858","pbah_3","2014-11-04 11:38:32","2015-05-24 15:53:05"
"VR2W-114417","pbah_2","2014-10-18 16:47:05","2015-04-21 12:33:06"
"VR2W-114420","nr2","2014-10-10 10:25:46","2015-04-21 13:40:03"
"VR2W-115409","top_ar","2014-10-10 10:11:49","2015-04-24 12:50:22"
"VR2W-115418","pbah_4","2014-11-14 15:46:00","2015-05-04 15:24:55"
"VR2W-119287","ps_3","2014-10-18 18:15:50","2015-01-17 17:13:26"
"VR2W-121032","bon_1","2013-10-25 17:45:29","2014-07-08 19:48:25"
"VR2W-121033","bon_2","2014-05-03 05:14:30","2014-05-03 05:26:23"
"VR2W-121036","er_2","2014-10-20 13:20:06","2014-12-01 16:22:15"
"VR2W-121038","pbah_4","2013-10-31 07:45:43","2014-07-07 07:28:26"
"VR2W-121040","sum_2","2014-07-01 04:25:42","2014-08-11 08:22:54"
"VR2W-121041","sum_1","2014-05-25 13:32:43","2014-08-12 02:07:45"
"VR2W-121045","ps_1","2013-09-13 21:12:27","2014-08-12 14:18:39"
"VR2W-121047","er_2","2013-10-27 00:19:34","2014-07-08 20:47:01"
"VR2W-121048","top_ar","2013-09-02 15:53:02","2014-07-02 22:04:27"
"VR2W-121049","ps_4","2013-09-13 22:06:37","2014-09-11 15:45:04"
"VR2W-121050","pbah_3","2013-09-05 05:27:30","2014-07-07 08:52:29"
"VR2W-121052","ps_3","2014-05-03 02:57:39","2014-08-11 00:59:31"
"VR2W-121358","ps_4","2014-10-19 05:31:31","2014-12-20 22:32:21"
"VR2W-121360","wang","2014-12-17 11:15:01","2014-12-17 11:15:03"
